confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000154;2020-06-12;58;4484;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000155;2020-06-12;1;1094;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000156;2020-06-12;25;446;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000157;2020-06-12;228;2898;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000158;2020-06-12;183;9196;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000159;2020-06-12;87;4724;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000160;2020-06-12;8;694;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000161;2020-06-12;262;11118;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000162;2020-06-12;34;779;República del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000163;2020-06-12;627;15181;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000164;2020-06-12;358;1664;Guinea Ecuatorial;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000165;2020-06-12;1;525;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000166;2020-06-12;280;4684;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000167;2020-06-12;3359;61927;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000168;2020-06-12;18;1103;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000169;2020-06-12;11;650;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000170;2020-06-12;1577;41303;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000171;2020-06-12;133;1572;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000172;2020-06-12;4;978;Níger;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000173;2020-06-12;12;130;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000174;2020-06-12;40;697;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000175;2020-06-12;12;60;Botsuana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000176;2020-06-12;16;510;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000177;2020-06-12;14;1684;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000178;2020-06-12;11;343;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000179;2020-06-12;29;8610;Marruecos;confirmed_cases_africa_ncov_2020-06-16
