DATE_INSERT;DATE_CASE;NEW_CASES;TOTAL_CASES;ID_UNISO_COUNTRY;COUNTRY_NAME;SOURCE;
"2020-05-07 22:03:12";"2020-05-07";"4";"42";"562";"NIGER";"https://twitter.com/Covid19Niger/status/1258482906466603008/photo/1";
"2020-05-07 21:27:31";"2020-05-07";"8";"161";"710";"SOUTH AFRICA";"https://twitter.com/nicd_sa/status/1258467153717714947/photo/1";
"2020-05-07 19:24:05";"2020-05-07";"2";"16";"694";"SIERRA LEONE";"https://twitter.com/mohs_sl/status/1258417028974641152/photo/1";
"2020-05-07 19:16:15";"2020-05-07";"10";"27";"148";"CHAD";"https://twitter.com/Covid19TD/status/1258444257851052034";
"2020-05-07 19:13:24";"2020-05-07";"13";"482";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1258428546722287618/photo/1";
"2020-05-07 17:25:31";"2020-05-07";"7";"483";"12";"ALGERIA";"https://www.observalgerie.com/covid-19-l-algerie-depasse-la-barre-des-5-000-cas-confirmes-7-nouveaux-deces/2020/";
"2020-05-07 16:59:33";"2020-05-07";"3";"29";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1258382547865788416/photo/1";
"2020-05-07 16:55:55";"2020-05-07";"5";"44";"706";"SOMALIA";"https://twitter.com/MoH_Somalia/status/1258400390674100228";
"2020-05-07 09:35:50";"2020-05-07";"1";"13";"686";"SENEGAL";"https://twitter.com/MinisteredelaS1/status/1258294830926626816/photo/1";
"2020-05-07 22:08:58";"2020-05-06";"2";"18";"834";"TANZANIA";"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200507covid-19-sitrep-108.pdf?sfvrsn=44cc8ed8_2";
"2020-05-07 17:01:51";"2020-05-06";"3";"52";"729";"SUDAN";"https://twitter.com/SDN_Health/status/1258382316092690434/photo/1";
"2020-05-07 09:45:06";"2020-05-06";"1";"36";"180";"DRC";"https://twitter.com/CMR_Covid19_RDC/status/1258189779029630977";
"2020-05-07 01:29:37";"2020-05-06";"5";"103";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1258170091730087937/photo/1";
"2020-05-07 00:21:56";"2020-05-06";"2";"8";"266";"GABON";"https://twitter.com/Info241_/status/1258144902912843776/photo/1";
"2020-05-06 22:19:03";"2020-05-06";"5";"153";"710";"SOUTH AFRICA";"https://twitter.com/DrZweliMkhize/status/1258127715418476546";
